,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
58,10654533275,2.0,Afternoon Run,5604.2,1445,1451,9.0,Run,0,7,3.878,5.096,82.8,436.0,536.0,439.0,630.0,1,1,169.3,184.0,169.3,184,95.8,87.4,0,69.0,29/01/2024,738914,16:34:23,5.60km,00:24:05,04:18/km,51.64807037450373,-1.9724701065570116
59,10627124398,2.0,Afternoon Run,5012.4,1374,1374,53.0,Run,0,4,3.648,5.118,82.3,415.7,589.0,420.0,571.2,1,1,161.7,180.0,161.7,180,54.6,26.4,0,50.0,25/01/2024,738910,14:52:16,5.01km,00:22:54,04:34/km,51.01455791853368,-0.37910979241132736
60,10607650504,2.0,Afternoon Run,7571.8,2885,2885,73.0,Run,0,5,2.625,4.616,78.8,300.9,413.0,302.0,868.1,1,1,149.3,178.0,149.3,178,58.6,28.6,0,59.0,22/01/2024,738907,14:40:39,7.57km,00:48:05,06:21/km,51.01459739729762,-0.37900795228779316
61,10593273858,2.0,Morning Run,7537.3,2052,2052,69.0,Run,3,7,3.673,5.396,82.6,420.2,535.0,427.0,862.2,1,1,167.1,184.0,167.1,184,59.0,30.8,0,92.0,20/01/2024,738905,10:29:04,7.54km,00:34:12,04:32/km,51.014584908261895,-0.3790457546710968
62,10581595748,2.0,Lunch Run,7010.5,2337,2347,38.0,Run,0,5,3.0,5.458,80.1,339.3,554.0,341.0,792.8,1,1,155.9,173.0,155.9,173,31.0,3.6,0,68.0,18/01/2024,738903,11:29:17,7.01km,00:38:57,05:33/km,51.45683716982603,-0.21502934396266937
63,10570294978,2.0,Afternoon Run,6905.3,1856,1856,40.0,Run,3,4,3.721,9.008,82.2,414.7,630.0,422.0,769.6,1,1,165.3,186.0,165.3,186,30.2,2.6,0,79.0,16/01/2024,738901,15:53:02,6.91km,00:30:56,04:29/km,51.456651678308845,-0.21497544832527637
64,10564255934,2.0,Afternoon Run,4007.5,1288,1288,25.0,Run,5,3,3.111,6.256,80.9,346.1,626.0,362.0,445.7,1,1,152.9,179.0,152.9,179,28.4,4.4,3,33.0,15/01/2024,738900,16:37:48,4.01km,00:21:28,05:21/km,51.45670129917562,-0.215012077242136
65,10550659580,2.0,Afternoon Run,6015.0,1525,1530,19.0,Run,2,5,3.944,7.884,82.8,438.5,601.0,438.0,668.7,1,1,174.6,183.0,174.6,183,11.6,3.2,1,90.0,13/01/2024,738898,14:39:29,6.01km,00:25:25,04:14/km,51.47312949411571,-0.18748875707387924
66,10531477324,2.0,Afternoon Run,5004.4,1576,1576,56.0,Run,0,5,3.175,4.082,79.8,368.0,498.0,368.0,580.0,1,1,164.2,178.0,164.2,178,53.4,23.8,0,63.0,10/01/2024,738895,15:08:11,5.00km,00:26:16,05:15/km,51.014645425602794,-0.3789907693862915
67,10524188850,2.0,Lunch Run,7551.1,2027,2027,75.0,Run,0,6,3.725,4.848,81.4,428.6,566.0,431.0,868.7,1,1,167.7,185.0,167.7,185,58.6,29.2,0,97.0,09/01/2024,738894,12:49:02,7.55km,00:33:47,04:28/km,51.0147434938699,-0.378964114934206
